"Comparison_ID","Data_Type","Article_ID","Last_Name","Year","Test_ID","Outcome_ID","Test_Name","Cognitive_Domain","Component_vs_Calculation","Outcome_Name","Participant_Age_Mean","Participant_Age_Reported_Variance","Participant_Age_Reported_Variance_Type","Participant_Age_Min","Participant_Age_Max","Participant_Sex","Sex_Distribution","Title","Journal","Citation","DOI","Publication_Type","Country_Of_Study","Total_Comparisons","Pre_Registration_Status","Open_Data","Recruitment_Method","Direction","Variable_Name","Variable_Value","Variable_Unit","Variable_Range_Min","Variable_Range_Max","Variable_Transformation","Transfer_Distance_Classification","Data_Source","Data_Extraction_Method","Control_Group_Type","Control_Group_Description","Shared_Control_Group","Shared_Intervention_Group","Control_Group_ID","Intervention_Group_ID","Multi_Arm_Study","Number_of_Arms","Morris_Method_Required","Change_Score_Reported_Flag","Intervention_Type","Intervention_Description","Session_Frequency_Value_Per_Week","Session_Count","Adaptive_Difficulty","Intervention_to_Test_Interval_Days","Intervention_Type_Cognitive_Activity","Cognitive_Activity_Description","Intervention_Type_Physical_Activity","Physical_Activity_Description","Activity_Presentation","Multimodal_Intervention_Status","Exercise_Type","Exercise_Intensity_Reported","Exercise_Intensity_Value","Exercise_Intensity_Category","Control_N","Intervention_N","Total_N","Attrition_N","Attrition_Rate","ITT_Analysis","Per_Protocol_Analysis","CHANGE_SCORE_Control_Group_Mean","CHANGE_SCORE_Control_Group_Variance_Value","CHANGE_SCORE_Control_Group_Variance_Type","CHANGE_SCORE_Intervention_Group_Mean","CHANGE_SCORE_Intervention_Group_Variance_Value","CHANGE_SCORE_Intervention_Group_Variance_Type","PRE_TEST_Control_Group_Mean","PRE_TEST_Control_Group_Variance_Value","PRE_TEST_Control_Group_Variance_Type","POST_TEST_Control_Group_Mean","POST_TEST_Control_Group_Variance_Value","POST_TEST_Control_Group_Variance_Type","PRE_TEST_Intervention_Group_Mean","PRE_TEST_Intervention_Group_Variance_Value","PRE_TEST_Intervention_Group_Variance_Type","POST_TEST_Intervention_Group_Mean","POST_TEST_Intervention_Group_Variance_Value","POST_TEST_Intervention_Group_Variance_Type","RoB2_01_Randomization_Process","RoB2_02_Deviations_From_Intended_Interventions","RoB2_03_Missing_Outcome_Data","RoB2_04_Measurement_Of_Outcome","RoB2_05_Selection_Of_Reported_Result","Overall_Risk_Of_Bias","High_RoB_Flag","RoB2_Notes","sensitivity_intervention_characteristics","sensitivity_age_violation","any_sensitivity_flag","Article_ID_From_File","Between_Or_Within_Design","Comparison_Column_Index","Control_Group_ID_Standardized","Control_Original_Variance_Type","Control_POST_Original_Variance_Type","Control_PRE_Original_Variance_Type","Import_Batch","Intervention_Adherence","Intervention_Duration","Intervention_Duration_Days","Intervention_Duration_Legacy","Intervention_Duration_Unit","Intervention_Duration_Unit_Legacy","Intervention_Original_Variance_Type","Intervention_POST_Original_Variance_Type","Intervention_PRE_Original_Variance_Type","Intervention_to_Test_Interval_Units","Intervention_to_Test_Interval_Units_Legacy","Intervention_to_Test_Interval_Value","Intervention_to_Test_Interval_Value_Legacy","Multimodal_Intervention_Description","Notes_From_File","Original_File","Other_Sensitivity_Notes","Session_Duration_Units","Session_Duration_Value","Supervised_vs_Unsupervised","Total_Hours","Variance_Conversion_Notes","Study_ID","Study_ID_Unique","Intervention_Group_ID_Standardized","Hedges_g","sampling_variance","vi_adjusted","Variance_Inflation_Factor","Exercise_Intensity_Collapsed","Morris_Method_Required_Bool","Hedges_g_corrected","sampling_variance_corrected","calculation_method","Test_Name_Standardized","sensitivity_statistical_issues","sensitivity_data_extraction","Arm_Number","Study_Arm_ID","VIF_multiarm","vi_adjusted_multiarm"
"AlThaqib2018_1_1_1","Pre-Post","AlThaqib2018","Al-Thaqib",2018,1,1,"CANTAB (Attention-Switching Task)","Executive Function/Attention","Original","Attention-Switching Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Mean correct latency","Response time","ms","0","3000","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","615.2","132.9","SD","581.3","147.1","SD","599.6","164.2","SD","512.2","156.7","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",1,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.339479360379884,0.0665721263750679,0.0665721263750679,1,"",TRUE,0.339479360379884,0.0665721263750679,"Morris dppc2","CANTAB - Attention-Switching Task",0,0,1,"AlThaqib2018_1_A",1,0.0665721263750679
"AlThaqib2018_1_1_2","Pre-Post","AlThaqib2018","Al-Thaqib",2018,1,2,"CANTAB (Attention-Switching Task)","Executive Function/Attention","Original","Attention-Switching Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Switching cost","Response time difference","ms","0","1000","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","252.3","134.7","SD","188","133.6","SD","247.6","180.8","SD","173.8","133.4","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",2,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.0556358019854701,0.065809959615303,0.065809959615303,1,"",TRUE,0.0556358019854701,0.065809959615303,"Morris dppc2","CANTAB - Attention-Switching Task",0,0,1,"AlThaqib2018_1_A",1,0.065809959615303
"AlThaqib2018_1_1_3","Pre-Post","AlThaqib2018","Al-Thaqib",2018,1,3,"CANTAB (Attention-Switching Task)","Executive Function/Attention","Original","Attention-Switching Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Mean correct latency (congruent)","Response time","ms","0","3000","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","573.5","120.7","SD","548","130.3","SD","572.6","158","SD","484.4","144.4","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",3,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.418236323163017,0.0669776745968954,0.0669776745968954,1,"",TRUE,0.418236323163017,0.0669776745968954,"Morris dppc2","CANTAB - Attention-Switching Task",0,0,1,"AlThaqib2018_1_A",1,0.0669776745968954
"AlThaqib2018_1_1_4","Pre-Post","AlThaqib2018","Al-Thaqib",2018,1,4,"CANTAB (Attention-Switching Task)","Executive Function/Attention","Original","Attention-Switching Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Mean correct latency (incongruent)","Response time","ms","0","3000","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","661.8","151.8","SD","616.1","168.1","SD","629.3","174.7","SD","541.8","173.2","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",4,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.245440106605958,0.0661983149978734,0.0661983149978734,1,"",TRUE,0.245440106605958,0.0661983149978734,"Morris dppc2","CANTAB - Attention-Switching Task",0,0,1,"AlThaqib2018_1_A",1,0.0661983149978734
"AlThaqib2018_1_1_5","Pre-Post","AlThaqib2018","Al-Thaqib",2018,1,5,"CANTAB (Attention-Switching Task)","Executive Function/Attention","Original","Attention-Switching Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Mean correct latency (blocks 3,5) [non-switching blocks]","Response time","ms","0","3000","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","487.1","80.3","SD","489.2","109.9","SD","479.1","116.9","SD","426.6","114.3","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",5,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.501422410125563,0.0674975803947543,0.0674975803947543,1,"",TRUE,0.501422410125563,0.0674975803947543,"Morris dppc2","CANTAB - Attention-Switching Task",0,0,1,"AlThaqib2018_1_A",1,0.0674975803947543
"AlThaqib2018_1_1_6","Pre-Post","AlThaqib2018","Al-Thaqib",2018,1,6,"CANTAB (Attention-Switching Task)","Executive Function/Attention","Original","Attention-Switching Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Mean correct latency (block 7) [switching block]","Response time","ms","0","3000","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","739.3","191.6","SD","677.3","202.3","SD","726.7","244.3","SD","600.4","214.2","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",6,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.275988237847094,0.0663065646597878,0.0663065646597878,1,"",TRUE,0.275988237847094,0.0663065646597878,"Morris dppc2","CANTAB - Attention-Switching Task",0,0,1,"AlThaqib2018_1_A",1,0.0663065646597878
"AlThaqib2018_1_2_1","Pre-Post","AlThaqib2018","Al-Thaqib",2018,2,1,"CANTAB (Motor Screening Task)","Processing Speed","Original","Motor Screening Task",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","lower better","Mean correct latency","Response time","ms","0","3000","none","Far","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","871.1","167.6","SD","782.1","135","SD","933.4","271.3","SD","761.4","209.1","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",7,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.33353982629154,0.0665449602878862,0.0665449602878862,1,"",TRUE,0.33353982629154,0.0665449602878862,"Morris dppc2","CANTAB - Motor Screening Task",0,0,1,"AlThaqib2018_1_A",1,0.0665449602878862
"AlThaqib2018_1_3_1","Pre-Post","AlThaqib2018","Al-Thaqib",2018,3,1,"CANTAB (Pattern Recognition Memory)","Learning & Memory (Recognition)","Original","Pattern Recognition Memory",24.6,"7.8","SD","NR","NR","Both","72.5","Brain Training Games Enhance Cognitive Function in Healthy Subjects","Medical Science Monitor Basic Research","Al-Thaqib, A., Al-Sultan, F., Al-Zahrani, A., Al-Kahtani, F., Al-Regaiey, K., Iqbal, M., & Bashir, S. (2018). Brain training games enhance cognitive function in healthy subjects. Medical Science Monitor Basic Research, 24, 63-69. https://doi.org/10.12659/MSMBR.909022","10.12659/MSMBR.909022","Journal Article","Saudi Arabia",8,"False","False","Volunteer recruitment","higher better","Percent correct","Accuracy","%","0","100","none","Near","Table 2","Reported in text/tables","Passive","No training","False","False","Control-1","Intervention-1","False",2,"True","False","Cognitive","Computerized cognitive training using Lumosity brain training application with games targeting flexibility, memory, attention, speed, and problem solving",7,21,"False",0,"True","Lumosity games: Speed Match, Memory Matrix, Rotation Matrix, Face Memory, Money Comb, and Lost In Migration","False","","Digital","False","","","","",21,51,72,0,0,"False","True",NA,NA,"",NA,NA,"","90.6","11.4","SD","89.9","8.6","SD","80.7","9.03","SD","89.2","9.3","SD","Some Concerns","Some Concerns","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; Non-blinded intervention with potential for performance bias; Complete outcome data with exclusion of non-compliant participants before analysis; Outcome assessors were blinded; No pre-registration but all expected outcomes reported",0,0,0,"Al-Thaqib2018","between-groups",8,"Al-Thaqib2018_Control-1","SD","SD","SD","original","100",21,21,21,"days","days","SD","SD","SD","days","days","0","0","","","Al-Thaqib2018_processed.xlsm","","minutes",10,"TRUE",3.5,"",1,"AlThaqib2018_1","Al-Thaqib2018_Intervention-1",0.931913478913486,0.0716909137289559,0.0716909137289559,1,"",TRUE,0.931913478913486,0.0716909137289559,"Morris dppc2","CANTAB - Pattern Recognition Memory",0,0,1,"AlThaqib2018_1_A",1,0.0716909137289559
"Blumenthal1988_1_1_1","Pre-Post","Blumenthal1988","Blumenthal",1988,1,1,"Memory Search Task","Working Memory","Original","mean reaction time",43.32,"8.84","SD","30","58","Male","100","Effects of Aerobic Exercise Training, Age, and Physical Fitness on Memory-Search Performance","Psychology and Aging","Blumenthal, J. A., & Madden, D. J. (1988). Effects of aerobic exercise training, age, and physical fitness on memory-search performance. Psychology and Aging, 3(3), 280-285.","https://doi.org/10.1037/0882-7974.3.3.280","Journal article","United States",4,"False","False","Newspaper advertisements","lower better","mean reaction time (yes-response category; for memory-set size = 6)","reaction time","ms","0","NR","none","Far","Table","Table 2","Active","Anaerobic exercise (strength training) group that performed stretching exercises and weight training for 30-45 minutes, 2-3 times weekly for 12 weeks","False","False","Control-1","Intervention-1","False",2,"True","False","Physical","Aerobic exercise consisting of 10 minutes of stretching followed by 30-45 minutes of continuous walking or jogging (approximately 3 miles) at 70-85% of maximal heart rate",3,36,"True",0,"False","","True","Walking/jogging at 70-85% of maximal heart rate","In-person","False","Aerobic","77.5% HRmax","77.5","Vigorous",15,13,28,0,0,"False","True",NA,NA,"",NA,NA,"","745","130","SD","673","125","SD","800","230","SD","731","213","SD","Some Concerns","Low Risk","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; No evidence of deviations from intended interventions with 95% adherence reported; No missing outcome data reported (all 28 participants completed); Outcome measurement was computerized and objective; No pre-registration but all expected outcomes reported.",0,0,0,"Blumenthal1988","between-groups",1,"Blumenthal1988_Control-1","","SD","SD","original","maintained heart rate in prescribed range 95% of time",12,84,12,"weeks","weeks","","SD","SD","days","days","0","0","Not Applicable","the active control group was given anaerobic exericse, but it is clear from the description that this is equivalent to the ""stretching"" conditions used by other articles... so it was not the case that the control group received a correspondingly intense anaeorobic exerciseintervention; for the memory tests, I only used the data for memory-set size = 6. (there was also set sizes 2 and 4). In this study it was clear from the introduction that that they expected the set size of 2 to be a sort of negative contorl that they didn't expect to be sufficientlycognitively demaniding to distinguish a bona fide effect of the exercise intervention.; I did not include any of the regression rsults from Tabl2 4 because this was based on a theoretical model such that the results (slope, intercept) would have been different if there was a different model applied.; I only analyzed the 'Response type: Yes' because the ","Blumenthal1988_processed.xlsm","","minutes",35,"TRUE",21,"",1,"Blumenthal1988_1","Blumenthal1988_Intervention-1",-0.0159096976450488,0.135351365409167,0.135351365409167,1,"Vigorous_High",TRUE,-0.0159096976450488,0.135351365409167,"Morris dppc2","Memory Search Task",0,0,1,"Blumenthal1988_1_A",1,0.135351365409167
"Blumenthal1988_1_2_3","Pre-Post","Blumenthal1988","Blumenthal",1988,2,3,"Memory Search Task","Working Memory","Original","mean error rate",43.32,"8.84","SD","30","58","Male","100","Effects of Aerobic Exercise Training, Age, and Physical Fitness on Memory-Search Performance","Psychology and Aging","Blumenthal, J. A., & Madden, D. J. (1988). Effects of aerobic exercise training, age, and physical fitness on memory-search performance. Psychology and Aging, 3(3), 280-285.","https://doi.org/10.1037/0882-7974.3.3.280","Journal article","United States",4,"False","False","Newspaper advertisements","lower better","mean reaction time (yes-response category; for memory-set size = 6)","error rate","ms/item","0","NR","none","Far","Table","Table 3","Active","Anaerobic exercise (strength training) group that performed stretching exercises and weight training for 30-45 minutes, 2-3 times weekly for 12 weeks","False","False","Control-1","Intervention-1","False",2,"True","False","Physical","Aerobic exercise consisting of 10 minutes of stretching followed by 30-45 minutes of continuous walking or jogging (approximately 3 miles) at 70-85% of maximal heart rate",3,36,"True",0,"False","","True","Walking/jogging at 70-85% of maximal heart rate","In-person","False","Aerobic","77.5% HRmax","77.5","Vigorous",15,13,28,0,0,"False","True",NA,NA,"",NA,NA,"","8.67","6.52","SD","8","6.4","SD","9.75","6.45","SD","9.23","10.9","SD","Some Concerns","Low Risk","Low Risk","Low Risk","Some Concerns","Some Concerns","False","Randomization mentioned but method not specified; No evidence of deviations from intended interventions with 95% adherence reported; No missing outcome data reported (all 28 participants completed); Outcome measurement was computerized and objective; No pre-registration but all expected outcomes reported.",0,0,0,"Blumenthal1988","between-groups",2,"Blumenthal1988_Control-1","","SD","SD","original","maintained heart rate in prescribed range 95% of time",12,84,12,"weeks","weeks","","SD","SD","days","days","0","0","Not Applicable","the active control group was given anaerobic exericse, but it is clear from the description that this is equivalent to the ""stretching"" conditions used by other articles... so it was not the case that the control group received a correspondingly intense anaeorobic exerciseintervention; for the memory tests, I only used the data for memory-set size = 6. (there was also set sizes 2 and 4). In this study it was clear from the introduction that that they expected the set size of 2 to be a sort of negative contorl that they didn't expect to be sufficientlycognitively demaniding to distinguish a bona fide effect of the exercise intervention.; I did not include any of the regression rsults from Tabl2 4 because this was based on a theoretical model such that the results (slope, intercept) would have been different if there was a different model applied.; I only analyzed the 'Response type: Yes' because the ","Blumenthal1988_processed.xlsm","","minutes",35,"TRUE",21,"",1,"Blumenthal1988_1","Blumenthal1988_Intervention-1",-0.0224469587031023,0.135355586008185,0.135355586008185,1,"Vigorous_High",TRUE,-0.0224469587031023,0.135355586008185,"Morris dppc2","Memory Search Task",0,0,1,"Blumenthal1988_1_A",1,0.135355586008185
