Article_ID,Study_ID,Study_ID_Unique,Comparison_ID,Test_ID,Outcome_ID,Last_Name,Year,Title,Journal,DOI,Country_Of_Study,Citation,Species,Strain,Sex,Sex_Distribution,Age_At_Start_Days,Control_N,Intervention_N,Test_Name,Test_Name_Standardized,Cognitive_Domain,Variable_Name,Variable_Value,Variable_Unit,Direction,Variable_Range_Min,Variable_Range_Max,Control_Group_Mean,Control_Group_Variance_Value,Intervention_Group_Mean,Intervention_Group_Variance_Value,Variance_Source,Intervention_Duration_Days,Intervention_to_Test_Interval_Days,RLS_Differential,RLS_Score_Control,RLS_Score_Intervention,any_sensitivity_flag,Overall_Risk_Of_Bias,Multi_Arm_Study,Number_of_Arms,Shared_Control_Group,Shared_Experimental_Group,Morris_Method_Required,Data_Source,Data_Extraction_Method,Selected_For_Domain_Analysis,Control_Group_ID_Standardized,Intervention_Group_ID_Standardized,Control_Group_RLS_Categories,Intervention_Group_RLS_Categories,Canada_Post_2009,EU_UK_Post_2010,Control_Burrowing_Substrates,Control_Gnawing_Materials,Control_Environmental_Complexity,Control_Foraging_Opportunities,Control_Fresh_Plant_Matter,Control_Nesting_Material,Control_Shelters,Control_Additional_Space,Control_Sweet_High_Fat_Food,Control_Exercise_Wheels,Control_Wheel_Condition,Control_Social_Partners,Quantity_Control_Social_Partners,Intervention_Burrowing_Substrates,Intervention_Gnawing_Materials,Intervention_Environmental_Complexity,Intervention_Foraging_Opportunities,Intervention_Fresh_Plant_Matter,Intervention_Nesting_Material,Intervention_Shelters,Intervention_Additional_Space,Intervention_Sweet_High_Fat_Food,Intervention_Exercise_Wheels,Intervention_Social_Partners,Quantity_Intervention_Social_Partners,SYRCLE_01_Sequence_Generation,SYRCLE_02_Baseline_Characteristics,SYRCLE_03_Allocation_Concealment,SYRCLE_04_Random_Housing,SYRCLE_05_Blinding_Investigators,SYRCLE_06_Random_Outcome_Assessment,SYRCLE_07_Blinding_Outcome_Assessment,SYRCLE_08_Incomplete_Outcome_Data,SYRCLE_09_Selective_Outcome_Reporting,SYRCLE_10_Other_Sources_Bias,Total_Comparisons,Pre_Registration_Status,Open_Data,Variable_Transformation,Quantity_Control_Additional_Space_cm2,Quantity_Intervention_Additional_Space_cm2,Hedges_g_corrected,sampling_variance_corrected,Enriched_N,Enriched_Group_Mean,Enriched_Group_SD,Control_Group_SD,exclude_main_analysis,sensitivity_study,sensitivity_reason,sensitivity_age_violation,sensitivity_intervention_characteristics,sensitivity_statistical_issues,sensitivity_data_extraction,Arm_Number,Study_Arm_ID,Control_Group_ID_Standardized_FIXED,Intervention_Group_ID_Standardized_FIXED,VIF_multiarm,vi_adjusted_multiarm
Aykan2024,1,Aykan2024_1,Aykan2024_1_1_1,1,1,Aykan,2024,Environmental enrichment enhances the antidepressant effect of ketamine and ameliorates spatial memory deficits in adult rats,"Pharmacology, Biochemistry and Behavior",10.1016/j.pbb.2024.173790,Turkey,"Aykan, D., Genc, M., & Unal, G. (2024). Environmental enrichment enhances the antidepressant effect of ketamine and ameliorates spatial memory deficits in adult rats. Pharmacology, Biochemistry and Behavior, 240, 173790. https://doi.org/10.1016/j.pbb.2024.173790",Rat,Wistar,Male,100,240.0,8,8,Morris Water Maze,Morris Water Maze,Learning & Memory (Spatial),Probe trial,Duration,seconds,higher better,0,60,20.13,5.69,21.7,7.64,Reported,41,0,5,1,6,1,Some Concerns,False,2,False,False,False,Figure 5B,Reported in text and figure,,Control-1,Intervention-1,Social Partners,Gnawing Materials; Environmental Complexity; Shelters; Additional Space; Exercise Wheels; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,Absent,True,4,False,True,True,False,False,False,True,True,False,True,True,8,High Risk,Low Risk,High Risk,High Risk,Low Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,1200.0,4356.0,0.220364826998043,0.251517520530559,,,,,False,,,0,0,0,0,1,Aykan2024_1_A,Aykan2024_Control-1,Aykan2024_Intervention-1,1.0,0.251517520530559
Aykan2024,1,Aykan2024_1,Aykan2024_1_2_1,2,1,Aykan,2024,Environmental enrichment enhances the antidepressant effect of ketamine and ameliorates spatial memory deficits in adult rats,"Pharmacology, Biochemistry and Behavior",10.1016/j.pbb.2024.173790,Turkey,"Aykan, D., Genc, M., & Unal, G. (2024). Environmental enrichment enhances the antidepressant effect of ketamine and ameliorates spatial memory deficits in adult rats. Pharmacology, Biochemistry and Behavior, 240, 173790. https://doi.org/10.1016/j.pbb.2024.173790",Rat,Wistar,Male,100,240.0,8,8,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Discrimination index,Discrimination index,ratio,higher better,0,1,0.53,0.34,0.43,0.34,Reported,50,0,5,1,6,1,Some Concerns,False,2,False,False,False,Figure 2C,Reported in text and figure,,Control-1,Intervention-1,Social Partners,Gnawing Materials; Environmental Complexity; Shelters; Additional Space; Exercise Wheels; Social Partners,False,False,False,False,False,False,False,False,False,False,False,False,Absent,True,4,False,True,True,False,False,False,True,True,False,True,True,8,High Risk,Low Risk,High Risk,High Risk,Low Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,1200.0,4356.0,-0.27807486631016,0.252416425977294,,,,,False,,,0,0,0,0,1,Aykan2024_1_A,Aykan2024_Control-1,Aykan2024_Intervention-1,1.0,0.252416425977294
Bechara2013,1,Bechara2013_1,Bechara2013_1_1_1,1,1,Bechara,2013,Exercise improves object recognition memory and induces BDNF expression and cell proliferation in cognitively enriched rats,Behavioural Brain Research,10.1016/j.bbr.2013.02.018,Ireland,"Bechara, R. G., & Kelly, Á. M. (2013). Exercise improves object recognition memory and induces BDNF expression and cell proliferation in cognitively enriched rats. Behavioural Brain Research, 245, 96-100. https://doi.org/10.1016/j.bbr.2013.02.018",Rat,Wistar,Male,100,90.0,9,9,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Novel object exploration,Percentage of exploration time,Percentage,higher better,0,100,31.21,11.61,41.61,8.7,Reported,21,0,2,0,2,0,Some Concerns,False,2,False,False,False,Figure 2b,Estimated from figure,,Control-1,Intervention-1,,Environmental Complexity; Shelters,False,True,False,False,False,False,False,False,False,False,False,False,NR,False,NR,False,False,True,False,False,False,True,False,False,False,False,9,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,1,False,False,none,1000.0,,0.965498167900618,0.248116297561651,,,,,False,,,0,0,0,0,1,Bechara2013_1_A,Bechara2013_Control-1,Bechara2013_Intervention-1,1.0,0.248116297561651
Bhat2023,1,Bhat2023_1,Bhat2023_1_1_1,1,1,Bhat,2023,Exploring potential strategies to enhance memory and cognition in aging mice,F1000Research,10.12688/f1000research.121922.3,India,"Bhat, S. M., Ramesh Babu, M. G., Dhanushkodi, A., & Rai, K. S. (2023). Exploring potential strategies to enhance memory and cognition in aging mice. F1000Research, 12, 141. https://doi.org/10.12688/f1000research.121922.3",Mouse,CF1,Male,100,405.0,6,6,Eight-Arm Radial Maze,Radial Arm Maze,Learning & Memory (Spatial),Percentage of correct choices,Mean percent of correct choices,Percentage,higher better,0,100,28.68,5.93,39.88,12.49,Reported,30,0,3,0,3,1,Some Concerns,False,2,False,False,False,Table 4,Reported in figure/table,,Control-1,Intervention-1,,Environmental Complexity; Additional Space; Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,4,False,False,True,False,False,False,False,True,False,True,False,4,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,True,none,500.0,,1.05746675720149,0.37992649760776,,,,,False,,,0,0,1,0,1,Bhat2023_1_A,Bhat2023_Control-1,Bhat2023_Intervention-1,1.0,0.37992649760776
Bhat2023,1,Bhat2023_1,Bhat2023_1_2_1,2,1,Bhat,2023,Exploring potential strategies to enhance memory and cognition in aging mice,F1000Research,10.12688/f1000research.121922.3,India,"Bhat, S. M., Ramesh Babu, M. G., Dhanushkodi, A., & Rai, K. S. (2023). Exploring potential strategies to enhance memory and cognition in aging mice. F1000Research, 12, 141. https://doi.org/10.12688/f1000research.121922.3",Mouse,CF1,Male,100,405.0,6,6,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Preference for the novel object,Percentage or novel object interactions,Percentage,higher better,0,100,61.44,3.43,55.16,7.57,Reported,30,0,3,0,3,1,Some Concerns,False,2,False,False,False,Visits_to_novel_object.csv; Visits_to_familiar_object.csv,raw data reported in open-access data,,Control-1,Intervention-1,,Environmental Complexity; Additional Space; Exercise Wheels,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,4,False,False,True,False,False,False,False,True,False,True,False,4,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,Low Risk,2,False,True,none,500.0,,-0.986434915702633,0.373877243454886,,,,,False,,,0,0,1,0,1,Bhat2023_1_A,Bhat2023_Control-1,Bhat2023_Intervention-1,1.0,0.373877243454886
Bindra2021,1,Bindra2021_1,Bindra2021_1_1_1,1,1,Bindra,2021,Environmental Enrichment Improved Cognitive Performance in Mice under Normoxia and Hypoxia,Advances in Experimental Medicine and Biology,10.1007/978-3-030-48238-1_52,United States,"Bindra, S., LaManna, J. C., & Xu, K. (2021). Environmental Enrichment Improved Cognitive Performance in Mice under Normoxia and Hypoxia. Advances in Experimental Medicine and Biology, 1269, 329-333. https://doi.org/10.1007/978-3-030-48238-1_52",Mouse,C57BL/6,NR,100,60.0,6,6,Y-Maze,Spontaneous Alternation,Working Memory,Alternation rate,Alternation rate,Percent,higher better,0,100,65.68,4.76,55.11,10.04,Reported,28,0,2,0,2,0,Some Concerns,False,2,False,False,False,Text,Reported in text,,Control-1,Intervention-1,,Burrowing Substrates; Environmental Complexity,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,True,False,True,False,False,False,False,False,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,500.0,-1.24184144450406,0.397590423886997,,,,,False,,,0,0,0,0,1,Bindra2021_1_A,Bindra2021_Control-1,Bindra2021_Intervention-1,1.0,0.397590423886997
Bindra2021,1,Bindra2021_1,Bindra2021_1_2_1,2,1,Bindra,2021,Environmental Enrichment Improved Cognitive Performance in Mice under Normoxia and Hypoxia,Advances in Experimental Medicine and Biology,10.1007/978-3-030-48238-1_52,United States,"Bindra, S., LaManna, J. C., & Xu, K. (2021). Environmental Enrichment Improved Cognitive Performance in Mice under Normoxia and Hypoxia. Advances in Experimental Medicine and Biology, 1269, 329-333. https://doi.org/10.1007/978-3-030-48238-1_52",Mouse,C57BL/6,NR,100,60.0,4,3,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Novel object exploration rate,Novel object exploration rate,Percent,higher better,0,100,63.27,25.66,51.33,11.95,Reported,28,0,2,0,2,0,Some Concerns,False,2,False,False,False,Text,Reported in text,,Control-2,Intervention-1,,Burrowing Substrates; Environmental Complexity,False,False,False,False,False,False,False,False,False,False,False,False,NR,False,2,True,False,True,False,False,False,False,False,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,2,False,False,none,500.0,500.0,-0.472839664397308,0.599303143921002,,,,,False,,,0,0,0,0,2,Bindra2021_1_B,Bindra2021_Control-2,Bindra2021_Intervention-1,1.0,0.599303143921002
Birch2013,1,Birch2013_1,Birch2013_1_1_1,1,1,Birch,2013,"Short-Term Environmental Enrichment, in the Absence of Exercise, Improves Memory, and Increases NGF Concentration, Early Neuronal Survival, and Synaptogenesis in the Dentate Gyrus in a Time-Dependent Manner",Hippocampus,10.1002/hipo.22103,Ireland,"Birch, A. M., McGarry, N. B., & Kelly, Á. M. (2013). Short-Term Environmental Enrichment, in the Absence of Exercise, Improves Memory, and Increases NGF Concentration, Early Neuronal Survival, and Synaptogenesis in the Dentate Gyrus in a Time-Dependent Manner. Hippocampus, 23(7), 637-650. https://doi.org/10.1002/hipo.22103",Rat,Wistar,Male,100,90.0,12,6,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Novel object exploration,Percentage exploration,Percentage,higher better,0,100,58.24,9.21,58.55,4.48,Imputed,14,0,3,1,4,1,Some Concerns,True,4,True,False,False,Text,Reported in text,,Control-1,Intervention-1,Additional Space,Burrowing Substrates; Gnawing Materials; Environmental Complexity; Shelters,False,True,False,False,False,False,False,False,False,True,False,False,NR,False,3,True,True,True,False,False,False,True,False,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,4,False,False,none,1829.0,1829.0,-0.318916418774949,0.250037487512869,6.0,56.0,7.4,6.34,False,TRUE,Extreme effect size (|g| > 2) - include in main but test in sensitivity,0,0,1,1,1,Birch2013_1_A,Birch2013_Control-1,Birch2013_Intervention-1,1.6,0.404520341429522
Birch2013,1,Birch2013_1,Birch2013_1_2_1,2,1,Birch,2013,"Short-Term Environmental Enrichment, in the Absence of Exercise, Improves Memory, and Increases NGF Concentration, Early Neuronal Survival, and Synaptogenesis in the Dentate Gyrus in a Time-Dependent Manner",Hippocampus,10.1002/hipo.22103,Ireland,"Birch, A. M., McGarry, N. B., & Kelly, Á. M. (2013). Short-Term Environmental Enrichment, in the Absence of Exercise, Improves Memory, and Increases NGF Concentration, Early Neuronal Survival, and Synaptogenesis in the Dentate Gyrus in a Time-Dependent Manner. Hippocampus, 23(7), 637-650. https://doi.org/10.1002/hipo.22103",Rat,Wistar,Male,100,90.0,12,8,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Novel object exploration,Percentage exploration,Percentage,higher better,0,100,58.24,9.21,67.88,7.75,Imputed,21,0,3,1,4,1,Some Concerns,True,4,True,False,False,Text,Reported in text,,Control-1,Intervention-2,Additional Space,Burrowing Substrates; Gnawing Materials; Environmental Complexity; Shelters,False,True,False,False,False,False,False,False,False,True,False,False,NR,False,3,True,True,True,False,False,False,True,False,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,4,False,False,none,1829.0,1829.0,1.33371141265338,0.236673905580904,8.0,67.88,7.75,6.34,False,TRUE,Extreme effect size (|g| > 2) - include in main but test in sensitivity,0,0,1,1,2,Birch2013_1_B,Birch2013_Control-1,Birch2013_Intervention-2,1.6,0.404484778623008
Birch2013,1,Birch2013_1,Birch2013_1_3_1,3,1,Birch,2013,"Short-Term Environmental Enrichment, in the Absence of Exercise, Improves Memory, and Increases NGF Concentration, Early Neuronal Survival, and Synaptogenesis in the Dentate Gyrus in a Time-Dependent Manner",Hippocampus,10.1002/hipo.22103,Ireland,"Birch, A. M., McGarry, N. B., & Kelly, Á. M. (2013). Short-Term Environmental Enrichment, in the Absence of Exercise, Improves Memory, and Increases NGF Concentration, Early Neuronal Survival, and Synaptogenesis in the Dentate Gyrus in a Time-Dependent Manner. Hippocampus, 23(7), 637-650. https://doi.org/10.1002/hipo.22103",Rat,Wistar,Male,100,90.0,12,6,Novel Object Recognition,Novel Object Recognition,Learning & Memory (Recognition),Novel object exploration,Percentage exploration,Percentage,higher better,0,100,58.24,9.21,78.95,6.3,Imputed,42,0,3,1,4,1,Some Concerns,True,4,True,False,False,Text,Reported in text,,Control-1,Intervention-3,Additional Space,Burrowing Substrates; Gnawing Materials; Environmental Complexity; Shelters,False,True,False,False,False,False,False,False,False,True,False,False,NR,False,3,True,True,True,False,False,False,True,False,False,False,False,3,Unclear Risk,Low Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Unclear Risk,Low Risk,Low Risk,Low Risk,4,False,False,none,1829.0,1829.0,3.11714339825755,0.402805408972455,6.0,78.95,6.3,6.34,False,TRUE,Extreme effect size (|g| > 2) - include in main but test in sensitivity,0,0,1,1,3,Birch2013_1_C,Birch2013_Control-1,Birch2013_Intervention-3,1.6,0.831848131791138
